ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΛΕΥΚΩΣΙΑ,ΞΥΛΟΥΡΓΙΚΗ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,17.30-19.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΞΥΛΟΥΡΓΙΚΗ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,17.30-19.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΞΥΛΟΥΡΓΙΚΗ,Β+Γ,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,19.00-20.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),17.30-19.00,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),19.00-20.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,19.00-20.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,17.30-19.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΛΗΡΟΥ - ΠΕΡΙΦΕΡΕΙΑΚΟ,19.00-20.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΕΥΤΕΡΑΣ ΠΑΝΩ,18.30-20.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,18.30-20.00,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,20.30-22.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),20.30-22.00,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),20.30-22.00,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΟΙΝΟΛΟΓΙΑ,Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΑΚΙΟΥ,19.00-20.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),18.15-19.45,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,18.15-19.45,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΟΚΚΙΝΟΤΡΙΜΙΘΙΑΣ Β',18.15-19.45,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΟΥΡΙΩΤΙΣΣΑΣ Α' (ΚΒ),18.15-19.45,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΑ ΧΩΡΙΟ ΝΗΣΟΥ Α',18.15-19.45,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΤΩ ΠΥΡΓΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΝΕΡΑ,18.15-19.45,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΤΣΙΩΝ Α',18.15-19.45,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΚΑΚΙ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),19.00-20.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΚΑΚΙ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),19.00-20.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΚΑΚΙ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΡΟΠΟΛΗΣ (ΚΒ),18.00-19.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),18.30-20.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),17.00-18.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),17.30-19.00,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),17.00-18.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΛΑΝΤΖΙΑΣ Δ' (ΚΒ),19.00-20.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΑΚΙΟΥ,15.30-17.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΑΚΙΟΥ,17.00-18.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΜΑΡΙΝΑΣ (ΚΒ),18.00-19.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΜΑΡΙΝΑΣ (ΚΒ),19.30-21.00,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,18.00-19.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΔΟΜΕΤΙΟΥ Α',14.30-16.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΔΟΜΕΤΙΟΥ Α',16.00-17.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΔΟΜΕΤΙΟΥ Α',17.30-19.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΟΥ ΙΩΑΝΝΗ ΜΑΛΟΥΝΤΑΣ,16.30-18.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΤΣΙΩΝ Α',16.00-17.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΤΣΙΩΝ Α',17.00-18.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΥΘΡΟΔΟΝΤΑ - «ΜΕΛΕΤΕΙΟΝ»,17.00-18.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,18.30-20.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,18.00-19.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,15.00-16.30,ΠΑΡΑΣΚΕΥΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,16.30-18.00,ΠΑΡΑΣΚΕΥΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΑΛΟΥ ΧΩΡΙΟΥ ΟΡΕΙΝΗΣ,16.00-17.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΚΛΗΡΟΥ - ΠΕΡΙΦΕΡΕΙΑΚΟ,10.00-11.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ Α΄ (ΚΒ) - ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΚΑΙ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,18.00-19.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ Α΄ (ΚΒ) - ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΚΑΙ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,19.30-21.00,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΝΕΡΑ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΑ ΧΩΡΙΟ ΝΗΣΟΥ Α',16.30-18.00,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΟΥΡΙΩΤΙΣΣΑΣ Α' (ΚΒ),18.30-20.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΛΟΥΝΤΑΣ,14.00-15.30,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΛΑΙΟΜΕΤΟΧΟΥ Β',17.00-18.30,ΠΑΡΑΣΚΕΥΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΚΕΔΟΝΙΤΙΣΣΑΣ Α',19.30-21.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΚΕΔΟΝΙΤΙΣΣΑΣ Α',16.30-18.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΑΚΕΔΟΝΙΤΙΣΣΑΣ Α',18.00-19.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),17.30-19.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),19.00-20.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),17.30-19.00,ΤΕΤΑΡΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),17.30-19.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),19.00-20.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΣΤΑΥΡΟΥ (ΚΒ),16.30-18.00,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΤΣΕΡΙΟΥ Β',18.00-19.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΟΤΑΜΙΑΣ,17.00-18.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΨΗΜΟΛΟΦΟΥ,10.00-11.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΨΗΜΟΛΟΦΟΥ,16.30-18.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΨΗΜΟΛΟΦΟΥ,18.00-19.30,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΤΟΞΟΒΟΛΙΑ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΑΝΕΡΩΜΕΝΗΣ,09.00-10.30,ΣΑΒΒΑΤΟ
ΛΕΥΚΩΣΙΑ,ΤΟΞΟΒΟΛΙΑ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΦΑΝΕΡΩΜΕΝΗΣ,10.30-12.00,ΣΑΒΒΑΤΟ
ΛΕΥΚΩΣΙΑ,ΤΟΞΟΒΟΛΙΑ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ Α΄ (ΚΒ) - ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΚΑΙ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,17.00-18.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΤΟΞΟΒΟΛΙΑ,Α+Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ Α΄ (ΚΒ) - ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ ΚΑΙ ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΥΔΡΑΥΛΙΚΑ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,15.00-16.30,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΥΔΡΑΥΛΙΚΑ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,18.30-20.00,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΥΔΡΑΥΛΙΚΑ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,16.45-18.15,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΥΔΡΑΥΛΙΚΑ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,15.00-16.30,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΥΔΡΑΥΛΙΚΑ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,16.45-18.15,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΥΔΡΑΥΛΙΚΑ,Β,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α,Α΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΛΕΥΚΩΣΙΑΣ,17.30-19.00,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΜΑΡΙΝΑΣ (ΚΒ),16.30-18.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΚΑΚΙΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΥΚΩΣΙΑ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΕΡΑ ΧΩΡΙΟ ΝΗΣΟΥ Α',17.30-19.00,ΤΡΙΤΗ
ΛΕΥΚΩΣΙΑ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΑΚΑΤΑΜΕΙΑΣ ΣΤ' - ΑΓΙΟΥ ΣΤΥΛΙΑΝΟΥ,19.45-21.15,ΔΕΥΤΕΡΑ
ΛΕΥΚΩΣΙΑ,ΦΩΤΟΓΡΑΦΙΚΗ ΤΕΧΝΗ,Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΓΙΑΣ ΜΑΡΙΝΑΣ (ΚΒ),19.30-21.00,ΠΕΜΠΤΗ
