ΕΠΑΡΧΙΑ,ΘΕΜΑ,ΕΠΙΠΕΔΟ,ΚΕΝΤΡΟΕΠΙΜΟΡΦΩΣΗΣ,ΩΡΑΔΙΕΞΑΓΩΓΗΣ,ΗΜΕΡΑΔΙΕΞΑΓΩΓΗΣ
ΛΕΜΕΣΟΣ,ΞΥΛΟΥΡΓΙΚΗ,Γ,Β΄ΤΕΧΝΙΚΗ ΚΑΙ ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΣΧΟΛΗ ΕΚΠΑΙΔΕΥΣΗΣ ΚΑΙ ΚΑΤΑΡΤΙΣΗΣ ΓΡΗΓΟΡΗ ΑΥΞΕΝΤΙΟΥ ΛΕΜΕΣΟΥ,18.30-20.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΟΙΚΟΔΟΜΙΚΗ,Α,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,15.00-16.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΟΙΚΟΔΟΜΙΚΗ,Β,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,16.30-18.00,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΩ ΠΟΛΕΜΙΔΙΩΝ - ΚΑΡΜΙΩΤΙΣΣΑΣ,18.30-20.00,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΟΙΝΟΛΟΓΙΑ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΣΤ' - ΠΑΝΑΓΙΑΣ ΤΡΙΧΕΡΟΥΣΑΣ,18.30-20.00,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΟΙΝΟΛΟΓΙΑ,Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΣΤ' - ΠΑΝΑΓΙΑΣ ΤΡΙΧΕΡΟΥΣΑΣ,20.00-21.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΟΙΝΟΛΟΓΙΑ,Β+Γ,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΠΑΝΩ ΠΟΛΕΜΙΔΙΩΝ - ΚΑΡΜΙΩΤΙΣΣΑΣ,20.00-21.30,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΠΡΩΤΕΣ ΒΟΗΘΕΙΕΣ,Α+Β,ΘΕΚΛΕΙΟ ΓΥΜΝΑΣΙΟ,18.00-19.30,ΔΕΥΤΕΡΑ
ΛΕΜΕΣΟΣ,ΣΚΑΚΙ,Α+Β,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΚΣΤ' - ΠΑΝΑΓΙΑΣ ΤΡΙΧΕΡΟΥΣΑΣ,18.00-19.30,ΠΕΜΠΤΗ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΛΕΜΕΣΟΥ ΙΓ' (ΚΒ) - ΑΓΙΟΥ ΣΠΥΡΙΔΩΝΑ Α',18.30-20.00,ΤΕΤΑΡΤΗ
ΛΕΜΕΣΟΣ,ΣΜΙΛΕΣ – ΒΕΛΟΝΑΚΙ,Α,ΟΙΚΗΜΑ ΕΠΙΜΟΡΦΩΤΙΚΩΝ ΚΕΝΤΡΩΝ,10.30-12.00,ΠΑΡΑΣΚΕΥΗ
